gid,favela,2017,2020,2024,osm,temporal,completed
395,CÓRREGO MARIA PAULA,False,False,False,False,False,0
431,DIOGO RAMIRES,False,False,False,False,False,0
396,VERONIA I,False,False,False,False,False,0
397,RAIMUNDO PEREIRA DE MAGALHÃES I,False,False,False,False,False,0
398,PAPAGAIOS,False,False,False,False,False,0
399,DO LAGO,False,False,False,False,False,0
400,ORVALHEIRA,False,False,False,False,False,0
401,ITAPIXÉ,False,False,False,False,False,0
402,APUANÃ,False,False,False,False,False,0
403,SÃO FAUSTINO,False,False,False,False,False,0
404,MINUETOS,False,False,False,False,False,0
405,JARDIM PAULISTANO,False,False,False,False,False,0
406,SÃO JOSÉ,False,False,False,False,False,0
407,JARDIM LEME,False,False,False,False,False,0
408,PIQUERI,False,False,False,False,False,0
409,SANTO STEFANO I,False,False,False,False,False,0
410,COLINA,False,False,False,False,False,0
411,AMEIXEIRAS,False,False,False,False,False,0
415,JARDIM IMBÉ II,False,False,False,False,False,0
416,AUGUSTO MONTENEGRO,False,False,False,False,False,0
417,IMBUIA,False,False,False,False,False,0
418,MORRO DA USP,False,False,False,False,False,0
419,JARDIM CAPELINHA / NUNO ROLAND,False,False,False,False,False,0
420,SÃO JOSÉ III,False,False,False,False,False,0
421,IGARAPÉ PRIMAVERA,False,False,False,False,False,0
422,CARLOS SEVERO,False,False,False,False,False,0
423,JARDIM MARIA TEREZINHA,False,False,False,False,False,0
424,PARAGUAI,False,False,False,False,False,0
425,GAZETA,False,False,False,False,False,0
426,JOHN AUDUBON II,False,False,False,False,False,0
427,VIELA CARLOS LACERDA,False,False,False,False,False,0
428,JARDIM CLIMAX,False,False,False,False,False,0
429,FATEC,False,False,False,False,False,0
430,GUILHERME COTCHING,False,False,False,False,False,0
433,"JARDIM PLANALTO I , II E III",False,False,False,False,False,0
434,PARQUE FIGUEIRA GRANDE III,False,False,False,False,False,0
435,JARDIM ALZIRA I E II,False,False,False,False,False,0
436,PIETRO CASELLA,False,False,False,False,False,0
437,ORFILIA,False,False,False,False,False,0
438,MATO VERDE I,False,False,False,False,False,0
439,ANGELO ANZOLINO,False,False,False,False,False,0
440,ESTAÇÃO JARAGUÁ,False,False,False,False,False,0
441,ALPHEU LUIZ GASPARINI,False,False,False,False,False,0
442,MARCOS LIBERI,False,False,False,False,False,0
443,FRANCISCO ALVES PEREIRA,False,False,False,False,False,0
444,LUIS BELTRÃO,False,False,False,False,False,0
445,SERRA DE BOTUCATU,False,False,False,False,False,0
446,MARCELO BERNARDINI,False,False,False,False,False,0
447,JOSÉ PEDRO DE BORBA,False,False,False,False,False,0
448,ASCENDINO REIS,False,False,False,False,False,0
449,JARDIM ARNALDO,False,False,False,False,False,0
450,ALTOS DE VILA PRUDENTE,False,False,False,False,False,0
451,MARTINS SARMENTO I,False,False,False,False,False,0
452,SERRA DE MONGAGUÁ,False,False,False,False,False,0
453,PORTO SEGURO,False,False,False,False,False,0
454,BALNEARIO / MAR PAULISTA,False,False,False,False,False,0
455,PARQUE SÃO PAULO,False,False,False,False,False,0
456,JARDIM THOMAS II,False,False,False,False,False,0
457,MANDIOCAL III DO PARQUE REGINA,False,False,False,False,False,0
458,RENATO LOCCHI,False,False,False,False,False,0
470,JARDIM MAZZA I,False,False,False,False,False,0
471,JURUVA,False,False,False,False,False,0
459,ELDORADO,False,False,False,False,False,0
460,JARDIM SANTA MARGARIDA II,False,False,False,False,False,0
461,MARTINS SARMENTO II,False,False,False,False,False,0
462,JARDIM SANTA MARGARIDA I,False,False,False,False,False,0
463,DOMITILA D'ABRIL,False,False,False,False,False,0
464,JOÃO GASPAR II,False,False,False,False,False,0
465,JARDIM MAGGI,False,False,False,False,False,0
466,SÃO JOSÉ BRUNA GALÉA,False,False,False,False,False,0
467,FAVELA DA PAZ,False,False,False,False,False,0
468,JARDIM CACHOEIRA,False,False,False,False,False,0
469,JAN LAMPE,False,False,False,False,False,0
473,NELSON DE SENA,False,False,False,False,False,0
474,ARMANDO ERSE FIGUEIREDO II,False,False,False,False,False,0
475,FRANCISCO EUGENIO DO AMARAL,False,False,False,False,False,0
476,JARDIM MARACANÃ,False,False,False,False,False,0
477,RECANTO NOVA REPÚBLICA III,False,False,False,False,False,0
478,JARDIM ALFREDO I,False,False,False,False,False,0
479,PALMEIRA DE VINHO,False,False,False,False,False,0
480,JAPARANDUBA III,False,False,False,False,False,0
481,MARANHAO II,False,False,False,False,False,0
482,TRIBO,False,False,False,False,False,0
483,JARDIM FIM DE SEMANA IV,False,False,False,False,False,0
484,MARIA STÉFANO,False,False,False,False,False,0
485,JARDIM APURÁ,False,False,False,False,False,0
486,FUNERARIA,False,False,False,False,False,0
502,CONDE MOREIRA LIMA,False,False,False,False,False,0
487,SETE DE SETEMBRO II,False,False,False,False,False,0
488,JARDIM SOARES,False,False,False,False,False,0
489,ESPERANÇA I,False,False,False,False,False,0
490,CRISTOVÃO AIRES,False,False,False,False,False,0
491,ERNESTO NICOLINI,False,False,False,False,False,0
492,JARDIM INDEPENDÊNCIA,False,False,False,False,False,0
